Orig,Standard
Antler,Antler
antler,Antler
Astralagus,Astragalus
austragalus,Astragalus
Atlas,Atlas
Axis,Axis
Calcaneus,Calcaneus
Calcaneous,Calcaneus
Carapace,Carapace
carapace,Carapace
carpal,Carpal
carpometacarpus,Carpometacarpus
Caudal,Caudal
Cervical,Cervical
cervical,Cervical
Innominate,CHECK
tendon,Other
Pelvis,CHECK
worked bone,CHECK
clavical,Clavical
Coracoid,Coracoid
coraciod,Coracoid
coracoid,Coracoid
cranium,Cranium
Cranium,Cranium
cranial frag,Cranium
Premaxilla,Cranium
Cranial,Cranium
cranial,Cranium
Premax/Tth,Cranium/Tth
Cranium/Tth,Cranium/Tth
Dentary,Dentary
femur,Femur
Femur,Femur
Fibula,Fibula
fibula,Fibula
furcula,Furcula
humerus,Humerus
Mand/Tth,Mand/Tth
Humerus,Humerus
hyomandibular,Hyomandibular
Ilium,Ilium
ilium,Ilium
Ilium,Ilium
ischcium,Ischium
Ischium,Ischium
Lumbar,Lumbar
Mand th,Mand/Tth
mandible,Mandible
Mand,Mandible
Mandible,Mandible
Mc,Metacarpal
Metacarpal,Metacarpal
metacarpal,Metacarpal
Metapodial,Metapodial
Mp,Metapodial
metapodial,Metapodial
Mt,Metatarsal
Mt,Metatarsal
metatarsal,Metatarsal
,NA
,NA
unknown,ND frags
fragment,ND frags
ND,ND frags
frag,ND frags
Frag,ND frags
?Scapula,ND frags
?,ND frags
Pelvis ND,ND frags
Rib?,ND frags
mandible or premaxilla,ND frags
Hyoid?,ND frags
ND frag,ND frags
Unknown,ND frags
scute,ND frags?
carapace or plastron,ND scute
carapace/plastron,ND Scute
Carapace/plastron,ND Scute
other,Other
Other,Other
patella,Patella
Patella,Patella
Pelvis Acetabulum,Pelvis Acetabulum
pelvis acetabulum,Pelvis Acetabulum
Pelvis acetabulum,Pelvis Acetabulum
innominate,Pelvis Acetabulum
Innominate acetabulum,Pelvis Acetabulum
Ph ND,Phalanx ND
Ph,Phalanx ND
Ph1,Phalanx1
Ph 1,Phalanx1
ph1,Phalanx1
Ph2,Phalanx2
Ph 2,Phalanx2
ph2,Phalanx2
Ph3,Phalanx3
ph3,Phalanx3
plastron,Plastron
Precaudal,Precaudal
Dorsal spine,Pteryiophores
Pteryiophores,Pteryiophores
pygostyle,Pygostyle
radius,Radius
Radius,Radius
Rib,Ribs
rib,Ribs
Sacrum,Sacrum
sacrum,Sacrum
scapula,Scapula
Scapula,Scapula
Scute,Scute
shaft,Shaft frags
Shaft,Shaft frags
long bone,Shaft frags
shaft,Shaft frags
shell,Shell
Shell,Shell
Skeleton,Skeleton
Spine,Spine
spine,Spine
spine,Spine
Sternum,Sternum
sternum,Sternum
Synsacrum,Synsacrum
synsacrum,Synsacrum
Tarsal,Tarsal
tarsometatarsus,Tarsometatarsus
Tarsometatarsus,Tarsometatarsus
Thoracic,Thoracic
tibia,Tibia
Tibia,Tibia
Tibiotarsus,Tibiotarsus
tibiotarsus,Tibiotarsus
chisel,Tool
needle,Tool
Needle,Tool
Chisel/spatula,Tool
Awl,Tool
Spatula/Chisel,Tool
Tool,Tool
Tth lw,Tth Low
Tth low,Tth Low
Tth Low,Tth Low
Tth,Tth ND
Tth ND,Tth ND
tooth,Tth ND
Tth up,Tth Up
Tth up,Tth up
tth up,Tth Up
Tth Up,Tth Up
ulna,Ulna
Ulna,Ulna
Unla,Ulna
Urostyle,Urostyle
Vert ND,Vert ND
vert ND,Vert ND
vertebra,Vert ND
