"","Operacion","Unidad","BirdAmericanCoot","BirdBird","BirdcfFulicaamericana","BirdCharadriiformes","BirdGalliformes","BirdGuajolote","BirdHawk","Birdlargebird","Birdmediumlargebird","Birdmediumbird","BirdNorthernbobwhite","BirdPasserine","BirdPigeon","BirdWaterfowl","FishJackfish","FishMarinefish","FishNDfish","FishSnapper","FossilFossilsharkfromcretaceous","Mammal9bandedarmadillo","MammalArtiodactyl","MammalBrocketdeer","MammalCanid","MammalCervid","MammalcfBrocketDeer","MammalcfCervid","MammalcfMexicancottontail","MammalcfTlachichi","MammalCottontail","MammalDesertcottontail","MammalDog","MammalDomesticpig","MammalEasterncottontail","MammalHare","MammalHoodedskunk","MammalHuman","Mammallargemammal","MammalLoberro","MammalLoberro","Mammalmammal","Mammalmediumlargemammal","Mammalmediummammal","MammalMexicancottontail","MammalPuma","MammalRabbithare","MammalRatMouse","MammalRodentia","Mammalsmallmedmammal","Mammalsmallmammal","MammalSmokeypocketgopher","MammalSquirrel","MammalTeporingo","MammalTlacuache","MammalTuza","MammalWhitesidedJackrabbit","MammalWhitetaileddeer","NOBONESINTHISBAG","ReptilecfMudturtle","ReptileMudturtle","ReptileSliderturtle","ReptileTurtle","ShellGastropod","ShellShell","UnknownBirdorMammal","UnknownNID","TotalRow"
"1","17","G22",0,3,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,6,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,27
"2","17","H19N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13
"3","17","H20",0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27
"4","17","H21",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,1,0,10,2,0,0,11,8,1,0,0,1,0,0,1,2,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,52
"5","17","H22",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14
"6","17","I16",0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,0,0,1,0,0,0,4,5,8,0,2,2,0,10,4,0,0,48,3,0,0,0,2,0,0,1,5,4,0,0,1,0,1,10,0,0,0,0,0,0,0,0,0,128
"7","17","I17",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,9,0,8,0,2,1,0,36,1,0,0,59,2,0,0,0,1,0,0,0,2,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,136
"8","17","I19",0,6,0,0,0,2,1,1,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,26,1,1,1,0,8,9,0,0,61,14,4,1,0,0,1,0,1,1,2,1,0,0,1,0,9,0,0,1,1,0,0,3,9,0,175
"9","17","I20",0,1,0,0,0,1,0,1,0,0,0,0,0,6,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,8,0,0,0,0,50,1,0,0,15,13,2,0,0,0,0,0,1,2,0,2,0,1,0,0,1,0,0,0,0,0,0,0,1,4,115
"10","17","I21",0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,2,0,5,1,0,1,4,16,1,0,0,1,0,0,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,49
"11","17","I22",0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,10,0,0,0,10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,36
"12","17","J16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"13","17","J17",0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,3,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,33,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,57
"14","17","J19s",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,19
"15","17","J19S",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,2,0,7,2,0,0,0,7,0,0,0,1,0,0,2,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,32
"16","17","J20",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,0,0,1,1,7,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,34
"17","17","J20 ",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19
"18","17","J21",0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,78,1,1,0,21,9,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,1,2,0,130
"19","17","J22",0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,3,1,0,1,0,31,2,0,0,15,17,2,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,91
"20","17","J7",0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,3,0,4,0,1,2,0,4,2,0,0,18,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,51
"21","17","J8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
"22","17","K20",0,8,0,0,2,1,0,0,0,1,2,0,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,2,0,70,4,0,0,23,7,4,0,0,0,0,0,0,1,2,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,142
"23","17","K21",0,9,0,1,0,0,0,1,1,0,0,2,0,6,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,5,0,1,1,0,3,0,0,0,9,0,0,1,0,0,0,0,0,6,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,57
"24","17","K22",1,7,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,2,0,0,1,0,2,1,0,0,0,3,0,0,1,0,2,0,0,0,23,19,0,0,0,1,0,0,0,2,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,75
"25","17","K8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"26","17","K9/J9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"27","17","L21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9
