Op,unit,x,y
17,G22,6,0
17,H19,0,2
17,H20,2,2
17,H21,4,2
17,H22,6,2
17,I19,0,4
17,I20,2,4
17,I21,4,4
17,I22,6,4
17,J19,0,6
17,J20,2,6
17,J21,4,6
17,J22,6,6
17,K20,2,8
17,K21,4,8
17,K22,6,8
18:S3E1,N20,0,10
18:S3E1,N21,2,10
18:S3E1,N22,4,10
18:S3E1,N23,6,10
18:S3E1,N24,8,10
18:S3E1,N25,10,10
18:S3E1,N26,12,10
18:S3E1,M20,0,8
18:S3E1,M21,2,8
18:S3E1,M22,4,8
18:S3E1,M23,6,8
18:S3E1,M24,8,8
18:S3E1,M25,10,8
18:S3E1,M26,12,8
18:S3E1,L20,0,6
18:S3E1,L21,2,6
18:S3E1,L22,4,6
18:S3E1,L23,6,6
18:S3E1,L24,8,6
18:S3E1,L25,10,6
18:S3E1,K20,0,4
18:S3E1,K21,2,4
18:S3E1,K22,4,4
18:S3E1,K23,6,4
18:S3E1,K24,8,4
18:S3E1,K25,10,4
18:S3E1,J20,0,2
18:S3E1,J21,2,2
18:S3E1,J22,4,2
18:S3E1,J23,6,2
18:S3E1,J24,8,2
18:S3E1,J25,10,2
18:S3E1,I20,0,0
18:S3E1,I21,2,0
18:S3E1,I22,4,0
18:S3E1,I23,6,0
18:S3E1,I24,8,0
18:S3E1,I25,10,0
18:S3E1Oeste,J9,0,0
18:S3E1Oeste,K9,0,2
18:S3E1Oeste,K10,2,2
18:S3E1Oeste,K11,4,2
18:S3E1Oeste,L9,0,4
18:S3E1Oeste,L10,2,4
18:S3E1Oeste,L11,4,4
18:S3E1Oeste,M9,0,6
18:S3E1Oeste,M10,2,6
18:S3E1Oeste,M11,4,6
18:S3E1Oeste,N11,6,6
